System,PM,Version,AgencyFC,HookedOnData,KISS,OldRetiredGuy,PACEASForecast,Salmanazar,SalmonCounts,SalmonCruz,SalmonForecastR,SeaMist,FarSouthSalmon,Ensemble_Mean,Ensemble_Median
All,MAE,Rank,1,7,4,6,10,3,9,11,8,13,12,2,5
All,MAE,Values,949436.14,1380303.43,1255608.79,1345856.64,1865737.43,1177482.14,1864690.86,2026285.36,1535255.29,2235697.36,2156428.86,1061775.3,1338329.5
All,MAPE,Rank,2,1,8,5,13,3,7,11,10,9,12,4,6
All,MAPE,Values,35.48,34.79,48.02,41,65.65,37.45,47.3,62.87,56.2,55.13,63.83,39.97,46.52
All,MPE,Rank,8,6,2,5,3,4,10,1,9,13,12,7,11
All,MPE,Values,-20.96,-20.32,-8.79,-18.71,-14.89,-17.65,-23.3,5.41,-22.08,-52.44,-31.81,-20.46,-26.99
All,MRE,Rank,10,6,2,7,4,1,3,11,12,13,9,5,8
All,MRE,Values,-742703.57,-431536,-117110.07,-560241.21,-166814,-16877.43,162109.14,1127827.36,-1276907.57,-2231179.79,-712066.43,-422279.6,-572220.14
All,RMSE,Rank,1,6,3,8,9,5,10,13,7,12,11,2,4
All,RMSE,Values,1309315.2218419367,1945144.3156725268,1660571.1933012474,2009958.0431407196,2324026.314502607,1720359.6085754447,2758239.254688681,3704089.261930377,1963007.2185821354,3251778.781025032,2953656.657598776,1334249.3714076653,1684705.2322907792
Bristol Bay,MAE,Rank,1,7,6,5,9,3,10,11,8,13,12,2,4
Bristol Bay,MAE,Values,1075730.25,1838478.75,1790164.5,1725504.25,2463851,1455680.38,2686630.62,2727518.88,1949423,3207228,2988226.38,1323146.23,1685343.69
Bristol Bay,MAPE,Rank,1,5,8,3,10,4,9,11,7,13,12,2,6
Bristol Bay,MAPE,Values,15.72,23.97,28.86,22.02,38.45,22.81,37.14,38.56,27.07,44.92,41.97,19.88,25.2
Bristol Bay,MPE,Rank,9,2,3,5,1,6,4,11,12,13,10,7,8
Bristol Bay,MPE,Values,-9.82,1.35,2.15,-3.76,0.86,4.64,2.36,13.85,-22.56,-44.92,-10.24,-5.63,-8.39
Bristol Bay,MRE,Rank,9,2,1,5,6,8,10,11,12,13,7,3,4
Bristol Bay,MRE,Values,-746639.25,-178135.75,139140.25,-385434,426288.25,563324.62,856080.88,1644147.88,-1730619.75,-3207228,-501310.12,-237374.57,-373734.31
Bristol Bay,RMSE,Rank,1,7,5,8,9,4,10,13,6,12,11,2,3
Bristol Bay,RMSE,Values,1276077.0660682097,2310366.49501789,2079789.2050707927,2362692.527572727,2709126.4809700656,1930192.5951027207,3481712.6782667786,4629368.2210912295,2279037.091997353,4097470.7205089335,3633643.9845300443,1484559.255030745,1877314.1392517812
Columbia,MAE,Rank,7,1,11,9,13,4,2,12,5,3,10,8,6
Columbia,MAE,Values,130764,14121,252272,139027,331907,48213,16754,271657,93629,31623,162872,133383.3,116328
Columbia,MAPE,Rank,7,1,11,9,13,4,2,12,5,3,10,8,6
Columbia,MAPE,Values,78.05,8.43,150.57,82.98,198.1,28.78,10,162.14,55.88,18.87,97.21,79.61,69.43
Columbia,MPE,Rank,7,1,11,9,13,4,2,12,5,3,10,8,6
Columbia,MPE,Values,78.05,-8.43,150.57,82.98,198.1,28.78,10,162.14,55.88,18.87,97.21,79.61,69.43
Columbia,MRE,Rank,7,1,11,9,13,4,2,12,5,3,10,8,6
Columbia,MRE,Values,130764,-14121,252272,139027,331907,48213,16754,271657,93629,31623,162872,133383.3,116328
Columbia,RMSE,Rank,7,1,11,9,13,4,2,12,5,3,10,8,6
Columbia,RMSE,Values,130764,14121,252272,139027,331907,48213,16754,271657,93629,31623,162872,133383.3,116328
Fraser River,MAE,Rank,3,5,1,7,11,6,4,13,10,9,12,2,8
Fraser River,MAE,Values,911100,920459.4,600987,979786.4,1215521.8,958218.8,919174.6,1255237.4,1160912.2,1122063.2,1224264.2,829260.22,1027507.1
Fraser River,MAPE,Rank,3,1,2,5,11,4,7,10,13,9,12,6,8
Fraser River,MAPE,Values,58.59,57.38,58.16,62.97,82.69,62.6,71.01,81.91,102.86,78.72,92.13,64.2,76.04
Fraser River,MPE,Rank,5,3,4,7,12,6,9,2,1,11,13,8,10
Fraser River,MPE,Values,-58.59,-57.38,-58.16,-62.97,-82.69,-62.6,-71.01,-39.44,-36.88,-78.72,-92.13,-64.2,-76.04
Fraser River,MRE,Rank,5,7,2,9,12,8,6,1,3,11,13,4,10
Fraser River,MRE,Values,-911100,-920459.4,-600987,-979786.4,-1215521.8,-958218.8,-919174.6,472948.6,-825075.4,-1122063.2,-1224264.2,-829260.22,-1027507.1
Fraser River,RMSE,Rank,5,4,1,8,12,7,3,13,9,10,11,2,6
Fraser River,RMSE,Values,1480284.313907298,1433015.2539350723,887369.9758376998,1541504.6121949814,1832500.1375832418,1524955.6342770108,1380688.735155973,2027889.6965874154,1573957.803731663,1656609.9669259507,1815695.5127339496,1206149.147752971,1518370.4984521894
