Prize,Team,MAPE,MAE,MPE,MRE,RMSE
1 Best Overall Prediction,HookedOnData,1,5,7,5,4
1 Best Overall Prediction,Salmanazar,2,2,4,1,3
1 Best Overall Prediction,AgencyFC,3,1,6,8,1
1 Best Overall Prediction,OldRetiredGuy,4,4,5,6,6
1 Best Overall Prediction,SalmonCounts,5,7,9,3,8
1 Best Overall Prediction,KISS,6,3,2,2,2
1 Best Overall Prediction,SeaMist,7,11,11,11,10
1 Best Overall Prediction,SalmonForecastR,8,6,8,10,5
1 Best Overall Prediction,SalmonCruz,9,9,1,9,11
1 Best Overall Prediction,FarSouthSalmon,10,10,10,7,9
1 Best Overall Prediction,PACEASForecast,11,8,3,4,7
2 Best Bristol Bay Prediction,AgencyFC,1,1,7,7,1
2 Best Bristol Bay Prediction,OldRetiredGuy,2,3,5,3,6
2 Best Bristol Bay Prediction,Salmanazar,3,2,6,6,2
2 Best Bristol Bay Prediction,HookedOnData,4,5,2,2,5
2 Best Bristol Bay Prediction,SalmonForecastR,5,6,10,10,4
2 Best Bristol Bay Prediction,KISS,6,4,3,1,3
2 Best Bristol Bay Prediction,SalmonCounts,7,8,4,8,8
2 Best Bristol Bay Prediction,PACEASForecast,8,7,1,4,7
2 Best Bristol Bay Prediction,SalmonCruz,9,9,9,9,11
2 Best Bristol Bay Prediction,FarSouthSalmon,10,10,8,5,9
2 Best Bristol Bay Prediction,SeaMist,11,11,11,11,10
3 Best Fraser Prediction,HookedOnData,1,4,3,6,3
3 Best Fraser Prediction,KISS,2,1,4,2,1
3 Best Fraser Prediction,AgencyFC,3,2,5,4,4
3 Best Fraser Prediction,Salmanazar,4,5,6,7,5
3 Best Fraser Prediction,OldRetiredGuy,5,6,7,8,6
3 Best Fraser Prediction,SalmonCounts,6,3,8,5,2
3 Best Fraser Prediction,SeaMist,7,7,9,9,8
3 Best Fraser Prediction,SalmonCruz,8,11,2,1,11
3 Best Fraser Prediction,PACEASForecast,9,9,10,10,10
3 Best Fraser Prediction,FarSouthSalmon,10,10,11,11,9
3 Best Fraser Prediction,SalmonForecastR,11,8,1,3,7
4 Best Columbia Prediction,HookedOnData,1,1,1,1,1
4 Best Columbia Prediction,SalmonCounts,2,2,2,2,2
4 Best Columbia Prediction,SeaMist,3,3,3,3,3
4 Best Columbia Prediction,Salmanazar,4,4,4,4,4
4 Best Columbia Prediction,SalmonForecastR,5,5,5,5,5
4 Best Columbia Prediction,OldRetiredGuy,6,6,6,6,6
4 Best Columbia Prediction,FarSouthSalmon,7,7,7,7,7
4 Best Columbia Prediction,AgencyFC,8,8,8,8,8
4 Best Columbia Prediction,KISS,9,9,9,9,9
4 Best Columbia Prediction,SalmonCruz,10,10,10,10,10
4 Best Columbia Prediction,PACEASForecast,11,11,11,11,11
