Prize,Team,MAPE,MAE,MPE,MRE,RMSE
1 Best Overall Prediction,HookedOnData,1,7,6,6,6
1 Best Overall Prediction,AgencyFC,2,1,8,10,1
1 Best Overall Prediction,Salmanazar,3,3,4,1,5
1 Best Overall Prediction,Ensemble_Mean,4,2,7,5,2
1 Best Overall Prediction,OldRetiredGuy,5,6,5,7,8
1 Best Overall Prediction,Ensemble_Median,6,5,11,8,4
1 Best Overall Prediction,SalmonCounts,7,9,10,3,10
1 Best Overall Prediction,KISS,8,4,2,2,3
1 Best Overall Prediction,SeaMist,9,13,13,13,12
1 Best Overall Prediction,SalmonForecastR,10,8,9,12,7
1 Best Overall Prediction,SalmonCruz,11,11,1,11,13
1 Best Overall Prediction,FarSouthSalmon,12,12,12,9,11
1 Best Overall Prediction,PACEASForecast,13,10,3,4,9
2 Best Bristol Bay Prediction,AgencyFC,1,1,9,9,1
2 Best Bristol Bay Prediction,Ensemble_Mean,2,2,7,3,2
2 Best Bristol Bay Prediction,OldRetiredGuy,3,5,5,5,8
2 Best Bristol Bay Prediction,Salmanazar,4,3,6,8,4
2 Best Bristol Bay Prediction,HookedOnData,5,7,2,2,7
2 Best Bristol Bay Prediction,Ensemble_Median,6,4,8,4,3
2 Best Bristol Bay Prediction,SalmonForecastR,7,8,12,12,6
2 Best Bristol Bay Prediction,KISS,8,6,3,1,5
2 Best Bristol Bay Prediction,SalmonCounts,9,10,4,10,10
2 Best Bristol Bay Prediction,PACEASForecast,10,9,1,6,9
2 Best Bristol Bay Prediction,SalmonCruz,11,11,11,11,13
2 Best Bristol Bay Prediction,FarSouthSalmon,12,12,10,7,11
2 Best Bristol Bay Prediction,SeaMist,13,13,13,13,12
3 Best Fraser Prediction,HookedOnData,1,5,3,7,4
3 Best Fraser Prediction,KISS,2,1,4,2,1
3 Best Fraser Prediction,AgencyFC,3,3,5,5,5
3 Best Fraser Prediction,Salmanazar,4,6,6,8,7
3 Best Fraser Prediction,OldRetiredGuy,5,7,7,9,8
3 Best Fraser Prediction,Ensemble_Mean,6,2,8,4,2
3 Best Fraser Prediction,SalmonCounts,7,4,9,6,3
3 Best Fraser Prediction,Ensemble_Median,8,8,10,10,6
3 Best Fraser Prediction,SeaMist,9,9,11,11,10
3 Best Fraser Prediction,SalmonCruz,10,13,2,1,13
3 Best Fraser Prediction,PACEASForecast,11,11,12,12,12
3 Best Fraser Prediction,FarSouthSalmon,12,12,13,13,11
3 Best Fraser Prediction,SalmonForecastR,13,10,1,3,9
4 Best Columbia Prediction,HookedOnData,1,1,1,1,1
4 Best Columbia Prediction,SalmonCounts,2,2,2,2,2
4 Best Columbia Prediction,SeaMist,3,3,3,3,3
4 Best Columbia Prediction,Salmanazar,4,4,4,4,4
4 Best Columbia Prediction,SalmonForecastR,5,5,5,5,5
4 Best Columbia Prediction,Ensemble_Median,6,6,6,6,6
4 Best Columbia Prediction,AgencyFC,7,7,7,7,7
4 Best Columbia Prediction,Ensemble_Mean,8,8,8,8,8
4 Best Columbia Prediction,OldRetiredGuy,9,9,9,9,9
4 Best Columbia Prediction,FarSouthSalmon,10,10,10,10,10
4 Best Columbia Prediction,KISS,11,11,11,11,11
4 Best Columbia Prediction,SalmonCruz,12,12,12,12,12
4 Best Columbia Prediction,PACEASForecast,13,13,13,13,13
